gss-code,year,dwellings
E07000156,2014,33590
E07000156,2015,33970
E07000163,2011,27010
E07000163,2012,27290
E07000163,2013,27410
E07000163,2014,27440
E07000163,2015,27610
E07000164,2011,39900
E07000164,2012,40040
E07000164,2013,40150
E07000164,2014,40320
E07000164,2015,40630
E07000165,2011,70400
E07000165,2012,70600
E07000165,2013,70710
E07000165,2014,70870
E07000165,2015,71210
E07000166,2011,22800
E07000166,2012,22990
E07000166,2013,23080
E07000166,2014,23190
E07000166,2015,23310
E07000167,2011,24740
E07000167,2012,24980
E07000167,2013,25180
E07000167,2014,25410
E07000167,2015,25670
E07000168,2011,56440
E07000168,2012,56710
E07000168,2013,56870
E07000168,2014,57120
E07000168,2015,57540
E07000169,2011,36290
E07000169,2012,36600
E07000169,2013,36820
E07000169,2014,37090
E07000169,2015,37660
E07000170,2011,52800
E07000170,2012,53210
E07000170,2013,53640
E07000170,2014,54100
E07000170,2015,54520
E07000171,2011,49400
E07000171,2012,49690
E07000171,2013,49920
E07000171,2014,50160
E07000171,2015,50400
E07000172,2011,48670
E07000172,2012,48810
E07000172,2013,48880
E07000172,2014,49020
E07000172,2015,49100
E07000173,2011,50860
E07000173,2012,51140
E07000173,2013,51370
E07000173,2014,51690
E07000173,2015,52000
E07000174,2011,46860
E07000174,2012,47110
E07000174,2013,47300
E07000174,2014,47580
E07000174,2015,47830
E07000175,2011,50940
E07000175,2012,51230
E07000175,2013,51600
E07000175,2014,51870
E07000175,2015,52330
E07000176,2011,47350
E07000176,2012,47640
E07000176,2013,47850
E07000176,2014,48050
E07000176,2015,48360
E07000177,2011,59020
E07000177,2012,59370
E07000177,2013,59720
E07000177,2014,60130
E07000177,2015,61070
E07000178,2011,57220
E07000178,2012,57480
E07000178,2013,57690
E07000178,2014,57760
E07000178,2015,58030
E07000179,2011,56640
E07000179,2012,57120
E07000179,2013,57600
E07000179,2014,58110
E07000179,2015,58730
E07000180,2011,51020
E07000180,2012,51400
E07000180,2013,51720
E07000180,2014,52270
E07000180,2015,53090
E07000181,2011,45580
E07000181,2012,45940
E07000181,2013,46220
E07000181,2014,46400
E07000181,2015,46800
E07000187,2011,48680
E07000187,2012,49080
E07000187,2013,49410
E07000187,2014,49710
E07000187,2015,50350
E07000188,2011,50880
E07000188,2012,51610
E07000188,2013,52230
E07000188,2014,52680
E07000188,2015,53260
E07000189,2011,73380
E07000189,2012,73860
E07000189,2013,74310
E07000189,2014,74860
E07000189,2015,75640
E07000190,2011,49220
E07000190,2012,49710
E07000190,2013,50150
E07000190,2014,50720
E07000190,2015,51500
E07000191,2011,17570
E07000191,2012,17660
E07000191,2013,17710
E07000191,2014,17790
E07000191,2015,17950
E07000192,2011,41820
E07000192,2012,41860
E07000192,2013,42020
E07000192,2014,42280
E07000192,2015,42540
E07000193,2011,49100
E07000193,2012,49360
E07000193,2013,49630
E07000193,2014,49860
E07000193,2015,50210
E07000194,2011,43170
E07000194,2012,43370
E07000194,2013,43610
E07000194,2014,43930
E07000194,2015,44110
E07000195,2011,54220
E07000195,2012,54530
E07000195,2013,54790
E07000195,2014,55100
E07000195,2015,55670
E07000196,2011,45620
E07000196,2012,45810
E07000196,2013,46000
E07000196,2014,46160
E07000196,2015,46450
E07000197,2011,57510
E07000197,2012,57920
E07000197,2013,58220
E07000197,2014,58470
E07000197,2015,58880
E07000198,2011,43590
E07000198,2012,43660
E07000198,2013,43750
E07000198,2014,43830
E07000198,2015,44110
E07000199,2011,32260
E07000199,2012,32330
E07000199,2013,32460
E07000199,2014,32500
E07000199,2015,32560
E07000200,2011,39020
E07000200,2012,39270
E07000200,2013,39490
E07000200,2014,39780
E07000200,2015,39950
E07000201,2011,27550
E07000201,2012,27890
E07000201,2013,28210
E07000201,2014,28460
E07000201,2015,28620
E07000202,2011,59300
E07000202,2012,59580
E07000202,2013,59680
E07000202,2014,59850
E07000202,2015,60320
E07000203,2011,41920
E07000203,2012,42310
E07000203,2013,42610
E07000203,2014,43160
E07000203,2015,43570
E07000204,2011,47140
E07000204,2012,47280
E07000204,2013,47480
E07000204,2014,47690
E07000204,2015,48110
E07000205,2011,58330
E07000205,2012,58600
E07000205,2013,58920
E07000205,2014,59140
E07000205,2015,59570
E07000206,2011,54560
E07000206,2012,54750
E07000206,2013,54910
E07000206,2014,55080
E07000206,2015,55210
E07000207,2011,55730
E07000207,2012,56030
E07000207,2013,56280
E07000207,2014,56540
E07000207,2015,56790
E07000208,2011,30540
E07000208,2012,30830
E07000208,2013,31340
E07000208,2014,31580
E07000208,2015,31780
E07000209,2011,56080
E07000209,2012,56390
E07000209,2013,56620
E07000209,2014,56750
E07000209,2015,56950
E07000210,2011,36970
E07000210,2012,37210
E07000210,2013,37380
E07000210,2014,37510
E07000210,2015,37700
E07000211,2011,57050
E07000211,2012,57510
E07000211,2013,57980
E07000211,2014,58410
E07000211,2015,58830
E07000212,2011,34250
E07000212,2012,34420
E07000212,2013,34590
E07000212,2014,34660
E07000212,2015,34780
E07000213,2011,40890
E07000213,2012,41050
E07000213,2013,41220
E07000213,2014,41410
E07000213,2015,41670
E07000214,2011,34730
E07000214,2012,34910
E07000214,2013,35130
E07000214,2014,35260
E07000214,2015,35360
E07000215,2011,34720
E07000215,2012,34840
E07000215,2013,35060
E07000215,2014,35320
E07000215,2015,35460
E07000216,2011,51550
E07000216,2012,51670
E07000216,2013,51900
E07000216,2014,52030
E07000216,2015,52260
E07000217,2011,40650
E07000217,2012,40830
E07000217,2013,41100
E07000217,2014,41470
E07000217,2015,41540
E07000218,2011,27030
E07000218,2012,27120
E07000218,2013,27150
E07000218,2014,27210
E07000218,2015,27410
E07000219,2011,54170
E07000219,2012,54410
E07000219,2013,54690
E07000219,2014,54840
E07000219,2015,55240
E07000220,2011,43190
E07000220,2012,43520
E07000220,2013,43850
E07000220,2014,44250
E07000220,2015,44680
E07000221,2011,54780
E07000221,2012,54940
E07000221,2013,55300
E07000221,2014,55630
E07000221,2015,56340
E07000222,2011,60430
E07000222,2012,60560
E07000222,2013,60730
E07000222,2014,60950
E07000222,2015,61580
E07000223,2011,27650
E07000223,2012,27850
E07000223,2013,28000
E07000223,2014,28090
E07000223,2015,28190
E07000224,2011,70190
E07000224,2012,70910
E07000224,2013,71400
E07000224,2014,71760
E07000224,2015,72380
E07000225,2011,53810
E07000225,2012,54170
E07000225,2013,54460
E07000225,2014,54690
E07000225,2015,55150
E07000226,2011,43460
E07000226,2012,43670
E07000226,2013,43740
E07000226,2014,43910
E07000226,2015,44130
E07000227,2011,56520
E07000227,2012,56780
E07000227,2013,57260
E07000227,2014,58090
E07000227,2015,58940
E07000228,2011,58710
E07000228,2012,59490
E07000228,2013,60030
E07000228,2014,60670
E07000228,2015,61290
E07000229,2011,48310
E07000229,2012,48450
E07000229,2013,48630
E07000229,2014,48870
E07000229,2015,49220
E07000234,2011,39370
E07000234,2012,39630
E07000234,2013,39760
E07000234,2014,39940
E07000234,2015,40160
E07000235,2011,33690
E07000235,2012,33920
E07000235,2013,34090
E07000235,2014,34280
E07000235,2015,34540
E07000236,2011,35370
E07000236,2012,35430
E07000236,2013,35560
E07000236,2014,35730
E07000236,2015,36060
E07000237,2011,43270
E07000237,2012,43590
E07000237,2013,43730
E07000237,2014,44010
E07000237,2015,44470
E07000238,2011,51930
E07000238,2012,52200
E07000238,2013,52700
