gss-code,year,vacancy-dwellings
E07000079,2014,885
E07000079,2015,936
E07000080,2011,1243
E07000080,2012,1254
E07000080,2013,1273
E07000080,2014,1178
E07000080,2015,1199
E07000081,2011,1742
E07000081,2012,1759
E07000081,2013,1648
E07000081,2014,1629
E07000081,2015,1600
E07000082,2011,1576
E07000082,2012,1561
E07000082,2013,1657
E07000082,2014,1678
E07000082,2015,1278
E07000083,2011,778
E07000083,2012,761
E07000083,2013,830
E07000083,2014,690
E07000083,2015,797
E07000084,2011,1442
E07000084,2012,1353
E07000084,2013,1387
E07000084,2014,1438
E07000084,2015,1423
E07000085,2011,1232
E07000085,2012,1230
E07000085,2013,1140
E07000085,2014,1070
E07000085,2015,1102
E07000086,2011,1307
E07000086,2012,1215
E07000086,2013,1145
E07000086,2014,951
E07000086,2015,988
E07000087,2011,1030
E07000087,2012,983
E07000087,2013,974
E07000087,2014,1075
E07000087,2015,1010
E07000088,2011,1265
E07000088,2012,1342
E07000088,2013,1063
E07000088,2014,1033
E07000088,2015,851
E07000089,2011,838
E07000089,2012,819
E07000089,2013,663
E07000089,2014,642
E07000089,2015,677
E07000090,2011,1190
E07000090,2012,1185
E07000090,2013,1056
E07000090,2014,930
E07000090,2015,985
E07000091,2011,2053
E07000091,2012,2133
E07000091,2013,1874
E07000091,2014,1840
E07000091,2015,1822
E07000092,2011,797
E07000092,2012,792
E07000092,2013,750
E07000092,2014,795
E07000092,2015,741
E07000093,2011,977
E07000093,2012,917
E07000093,2013,826
E07000093,2014,699
E07000093,2015,771
E07000094,2011,1260
E07000094,2012,1222
E07000094,2013,1268
E07000094,2014,1169
E07000094,2015,1043
E07000095,2011,691
E07000095,2012,702
E07000095,2013,618
E07000095,2014,559
E07000095,2015,584
E07000096,2011,1490
E07000096,2012,1416
E07000096,2013,1103
E07000096,2014,1126
E07000096,2015,1034
E07000097,2011,1435
E07000097,2012,1430
E07000097,2013,1262
E07000097,2014,1130
E07000097,2015,1187
E07000098,2011,836
E07000098,2012,915
E07000098,2013,906
E07000098,2014,851
E07000098,2015,939
E07000099,2011,1377
E07000099,2012,1449
E07000099,2013,1249
