gss.code,sex,age,year,popn
E06000005,F,12,2016,585.0722395154
E06000005,F,12,2017,573.9821012914
E06000005,F,12,2018,643.9855997577
E06000005,F,12,2019,629.0468499685
E06000005,F,12,2020,683.7445960176
E06000005,F,12,2021,629.6247157995
E06000005,F,12,2022,632.4942054687
E06000005,F,12,2023,617.5756274566
E06000005,F,12,2024,660.6689289317
E06000005,F,12,2025,639.3068026979
E06000005,F,12,2026,558.2462419535
E06000005,F,12,2027,583.3146673511
E06000005,F,12,2028,584.137879333
E06000005,F,12,2029,582.8373662948
E06000005,F,12,2030,582.9162215516
E06000005,F,12,2031,581.1429762243
E06000005,F,12,2032,578.2587184907
E06000005,F,12,2033,574.6866995358
E06000005,F,12,2034,571.461584304
E06000005,F,12,2035,566.3543999196
E06000005,F,12,2036,563.7127651517
E06000005,F,12,2037,559.8642057387
E06000005,F,13,2011,654
E06000005,F,13,2012,674
E06000005,F,13,2013,582
E06000005,F,13,2014,577
E06000005,F,13,2015,526.6666666667
E06000005,F,13,2016,564.167402734
E06000005,F,13,2017,585.7389061821
E06000005,F,13,2018,574.6487679581
E06000005,F,13,2019,644.6522664244
E06000005,F,13,2020,629.7135166352
E06000005,F,13,2021,684.4112626843
E06000005,F,13,2022,630.2913824661
E06000005,F,13,2023,633.1608721354
E06000005,F,13,2024,618.2422941233
E06000005,F,13,2025,661.3355955984
E06000005,F,13,2026,639.9734693646
E06000005,F,13,2027,558.9129086201
E06000005,F,13,2028,583.9813340177
E06000005,F,13,2029,584.8045459997
E06000005,F,13,2030,583.5040329615
E06000005,F,13,2031,583.5828882183
E06000005,F,13,2032,581.809642891
E06000005,F,13,2033,578.9253851573
E06000005,F,13,2034,575.3533662025
E06000005,F,13,2035,572.1282509707
E06000005,F,13,2036,567.0210665863
E06000005,F,13,2037,564.3794318184
E06000005,F,14,2011,633
E06000005,F,14,2012,657
E06000005,F,14,2013,676
E06000005,F,14,2014,582
E06000005,F,14,2015,581.75
E06000005,F,14,2016,531.4166666667
E06000005,F,14,2017,568.917402734
E06000005,F,14,2018,590.4889061821
E06000005,F,14,2019,579.3987679581
E06000005,F,14,2020,649.4022664244
